"id";"genero_top30";"posicion_top30";"titulo";"titulo_VO";"duracion";"pais";"puntuacion_media";"votos";"num_criticas";"mejor_puntuacion";"peor_puntuacion";"direccion";"guion";"musica";"fotografia";"reparto";"productora";"sinopsis";"url";"tag_1";"tag_2";"tag_3";"tag_4";"tag_5";"tag_6";"tag_7";"tag_8";"tag_9";"tag_10";"tag_11";"tag_12";"tag_13"
"809297";"Drama";1;"El padrino";"The Godfather";"175";"Estados Unidos";9;169,773;639;10;1;"Francis Ford Coppola";"Francis Ford Coppola, Mario Puzo (Novela: Mario Puzo)";"Nino Rota";"Gordon Willis";"Marlon Brando, Al Pacino, James Caan, Robert Duvall, Diane Keaton, John Cazale, Talia Shire, Richard S. Castellano, Sterling Hayden, Gianni Russo, Rudy Bond, John Marley, Richard Conte, Al Lettieri, Abe Vigoda, Franco Citti, Lenny Montana, Al Martino, Joe Spinell, Simonetta Stefanelli, Morgana King, Alex Rocco, John Martino, Salvatore Corsitto, Richard Bright, Tony Giorgio, Vito Scotti, Jeannie Linero, Julie Gregg, Angelo Infanti, Corrado Gaipa, Saro Urzi";"Paramount Pictures, Alfran Productions";"América, años 40. Don Vito Corleone (Marlon Brando) es el respetado y temido jefe de una de las cinco familias de la mafia de Nueva York. Tiene cuatro hijos: Connie (Talia Shire), el impulsivo Sonny (James Caan), el pusilánime Fredo (John Cazale) y Michael (Al Pacino), que no quiere saber nada de los negocios de su padre. Cuando Corleone, en contra de los consejos de 'Il consigliere' Tom Hagen (Robert Duvall), se niega a participar en el negocio de las drogas, el jefe de otra banda ordena su asesinato. Empieza entonces una violenta y cruenta guerra entre las familias mafiosas. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film809297.html";"Drama";"Mafia";"Crimen";"Años 40";"Años 50";"Familia";"Película de culto";"";"";"";"";"";""
"811454";"Drama";20;"La quimera del oro";"The Gold Rush";"95";"Estados Unidos";8,4;26,461;94;10;1;"Charles Chaplin";"Charles Chaplin";"Max Terr (Película muda)";"Roland Totheroh, Jack Wilson (B&W)";"Charles Chaplin, Mack Swain, Georgia Hale, Tom Murray, Malcom Waite, Henry Bergman, Betty Morrisey";"United Artists";"Obra maestra de Chaplin, en la que interpreta a un solitario buscador de oro que llega a Alaska, a principios de siglo, en busca de fortuna. Una fuerte tormenta de nieve le llevará a refugiarse en la cabaña de un bandido. En 1942 fue reestrenada en versión sonora. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film811454.html";"Comedia";"Drama";"Aventuras";"Cine mudo";"Años 1900 (circa)";"Comedia dramática";"";"";"";"";"";"";""
"811454";"Aventuras";2;"La quimera del oro";"The Gold Rush";"95";"Estados Unidos";8,4;26,461;94;10;1;"Charles Chaplin";"Charles Chaplin";"Max Terr (Película muda)";"Roland Totheroh, Jack Wilson (B&W)";"Charles Chaplin, Mack Swain, Georgia Hale, Tom Murray, Malcom Waite, Henry Bergman, Betty Morrisey";"United Artists";"Obra maestra de Chaplin, en la que interpreta a un solitario buscador de oro que llega a Alaska, a principios de siglo, en busca de fortuna. Una fuerte tormenta de nieve le llevará a refugiarse en la cabaña de un bandido. En 1942 fue reestrenada en versión sonora. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film811454.html";"Comedia";"Drama";"Aventuras";"Cine mudo";"Años 1900 (circa)";"Comedia dramática";"";"";"";"";"";"";""
"811454";"Comedia";9;"La quimera del oro";"The Gold Rush";"95";"Estados Unidos";8,4;26,461;94;10;1;"Charles Chaplin";"Charles Chaplin";"Max Terr (Película muda)";"Roland Totheroh, Jack Wilson (B&W)";"Charles Chaplin, Mack Swain, Georgia Hale, Tom Murray, Malcom Waite, Henry Bergman, Betty Morrisey";"United Artists";"Obra maestra de Chaplin, en la que interpreta a un solitario buscador de oro que llega a Alaska, a principios de siglo, en busca de fortuna. Una fuerte tormenta de nieve le llevará a refugiarse en la cabaña de un bandido. En 1942 fue reestrenada en versión sonora. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film811454.html";"Comedia";"Drama";"Aventuras";"Cine mudo";"Años 1900 (circa)";"Comedia dramática";"";"";"";"";"";"";""
"821634";"Belico";23;"La infancia de Iván";"Ivanovo detstvo (Ivan's Childhood)";"95";"Unión Soviética (URSS)";7,8;6,347;63;10;1;"Andrei Tarkovsky";"Vladimir Bogomolov, Mikhail Papava";"Vyacheslav Ovchinnikov";"Vadim Yusov";"Nikolay Burlyaev, Valentin Zubkov, Yevgeni Zharikov, Stepan Krylov, Nikolai Grinko, Valentina Malyavina";"Mosfilm";"Segunda Guerra Mundial (1939-1945) Frente Oriental. Iván, un niño ruso de 12 años, cuyos padres murieron durante la invasión nazi, trabaja espiando a los alemanes. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film821634.html";"Drama";"Bélico";"II Guerra Mundial";"Espionaje";"Infancia";"Nazismo";"";"";"";"";"";"";""
"824508";"Belico";22;"Salvar al soldado Ryan";"Saving Private Ryan";"170";"Estados Unidos";7,8;137,379;307;10;1;"Steven Spielberg";"Robert Rodat";"John Williams";"Janusz Kaminski";"Tom Hanks, Tom Sizemore, Edward Burns, Matt Damon, Barry Pepper, Giovanni Ribisi, Adam Goldberg, Jeremy Davies, Vin Diesel, Ted Danson, Paul Giamatti, Max Martini, Dennis Farina, Harrison Young, Kathleen Byron, Harve Presnell, Dale Dye, Leland Orser, Bryan Cranston, Nathan Fillion, Ryan Hurst, Corey Johnson, Andrew Scott, Joerg Stadler, Dylan Bruno";"DreamWorks SKG, Paramount Pictures, Amblin Entertainment";"Segunda Guerra Mundial (1939-1945). Tras el desembarco de los Aliados en Normandía, a un grupo de soldados americanos se le encomienda una peligrosa misión: poner a salvo al soldado James Ryan. Los hombres de la patrulla del capitán John Miller deben arriesgar sus vidas para encontrar a este soldado, cuyos tres hermanos han muerto en la guerra. Lo único que se sabe del soldado Ryan es que se lanzó con su escuadrón de paracaidistas detrás de las líneas enemigas. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film824508.html";"Bélico";"II Guerra Mundial";"";"";"";"";"";"";"";"";"";"";""
"825943";"Western";12;"Horizontes de grandeza";"The Big Country";"159";"Estados Unidos";8;11,468;71;10;1;"William Wyler";"James R. Webb, Sy Bartlett, Robert Wilder, Jessamyn West, Robert Wyler (Novela: Donald Hamilton)";"Jerome Moross";"Franz Planer";"Gregory Peck, Jean Simmons, Charlton Heston, Burl Ives, Carroll Baker, Charles Bickford, Chuck Connors, Alfonso Bedoya, Chuck Hayward, Buff Brady, Dorothy Adams, Jim Burk";"United Artists";"James McKay (Peck), un capitán de navío retirado, viaja desde el Este a las vastas llanuras de Texas para casarse con Pat Terrill (Baker), la hija de un rico ganadero. El choque entre McKay, hombre pacífico, culto  y educado, y los violentos y toscos rancheros es inevitable. No sólo tendrá que enfrentarse con el capataz Steve Leech (Heston), sino que incluso su novia se sentirá decepcionada por su comportamiento. Mientras tanto, el padre de Pat y el clan de los Hannassey luchan encarnizadamente por el control del agua para abrevar el ganado. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film825943.html";"Western";"Romance";"Cine épico";"Venganza";"";"";"";"";"";"";"";"";""
"825943";"Romance";23;"Horizontes de grandeza";"The Big Country";"159";"Estados Unidos";8;11,468;71;10;1;"William Wyler";"James R. Webb, Sy Bartlett, Robert Wilder, Jessamyn West, Robert Wyler (Novela: Donald Hamilton)";"Jerome Moross";"Franz Planer";"Gregory Peck, Jean Simmons, Charlton Heston, Burl Ives, Carroll Baker, Charles Bickford, Chuck Connors, Alfonso Bedoya, Chuck Hayward, Buff Brady, Dorothy Adams, Jim Burk";"United Artists";"James McKay (Peck), un capitán de navío retirado, viaja desde el Este a las vastas llanuras de Texas para casarse con Pat Terrill (Baker), la hija de un rico ganadero. El choque entre McKay, hombre pacífico, culto  y educado, y los violentos y toscos rancheros es inevitable. No sólo tendrá que enfrentarse con el capataz Steve Leech (Heston), sino que incluso su novia se sentirá decepcionada por su comportamiento. Mientras tanto, el padre de Pat y el clan de los Hannassey luchan encarnizadamente por el control del agua para abrevar el ganado. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film825943.html";"Western";"Romance";"Cine épico";"Venganza";"";"";"";"";"";"";"";"";""
"826070";"Ciencia ficcion";24;"La invasión de los ladrones de cuerpos";"Invasion of the Body Snatchers";"80";"Estados Unidos";7,6;15,201;75;10;1;"Don Siegel";"Daniel Mainwaring (Relatos: Jack Finney)";"Carmen Dragon";"Ellsworth Fredericks (B&W)";"Kevin McCarthy, Dana Wynter, Larry Gates, Carolyn Jones, King Donovan, Virginia Christine, Tom Fadden, Guy Way, Sam Peckinpah";"Allied Artists";"En una pequeña ciudad de California empiezan a suceder cosas muy extrañas: el comportamiento de algunas personas cambia de tal manera que causa estupor e incluso miedo entre sus parientes y amigos. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film826070.html";"Ciencia ficción";"Fantástico";"Terror";"Vida rural (Norteamérica)";"Extraterrestres";"Serie B";"Película de culto";"";"";"";"";"";""
"826070";"Terror";19;"La invasión de los ladrones de cuerpos";"Invasion of the Body Snatchers";"80";"Estados Unidos";7,6;15,201;75;10;1;"Don Siegel";"Daniel Mainwaring (Relatos: Jack Finney)";"Carmen Dragon";"Ellsworth Fredericks (B&W)";"Kevin McCarthy, Dana Wynter, Larry Gates, Carolyn Jones, King Donovan, Virginia Christine, Tom Fadden, Guy Way, Sam Peckinpah";"Allied Artists";"En una pequeña ciudad de California empiezan a suceder cosas muy extrañas: el comportamiento de algunas personas cambia de tal manera que causa estupor e incluso miedo entre sus parientes y amigos. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film826070.html";"Ciencia ficción";"Fantástico";"Terror";"Vida rural (Norteamérica)";"Extraterrestres";"Serie B";"Película de culto";"";"";"";"";"";""
"827774";"Fantástico";23;"Eduardo Manostijeras";"Edward Scissorhands";"98";"Estados Unidos";7,8;116,521;223;10;1;"Tim Burton";"Caroline Thompson";"Danny Elfman";"Stefan Czapsky";"Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall, Alan Arkin, Kathy Baker, Vincent Price, Caroline Aaron, Robert Oliveri, Conchata Ferrell, Dick Anthony Williams, O-Lan Jones, Susan Blommaert, John Davidson, Biff Yeager, Bryan Larkin, John McMahon, Victoria Price, Stuart Lancaster, Aaron Lustig, Alan Fudge, Steven Brill, Peter Palmer, Marc Macaulay, Brett Rice, Donna Pieroni";"20th Century Fox. Productor: Tim Burton";"Durante una noche de Navidad, una anciana le cuenta a su nieta la historia de Eduardo Manostijeras (Johnny Depp), un muchacho creado por un extravagante inventor (Vincent Price) que no pudo acabar su obra, dejando al joven con cuchillas en lugar de dedos. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film827774.html";"Fantástico";"Drama";"Romance";"Película de culto";"Drama romántico";"";"";"";"";"";"";"";""
"830094";"Fantástico";17;"La muerte cansada";"Der Müde Tod aka";"105";"Alemania";7,9;2,465;28;10;1;"Fritz Lang";"Fritz Lang, Thea von Harbou";"Giuseppe Becce (Película muda)";"Bruno Mondi, Erich Nitzschmann, Herrmann Saalfrank, Bruno Timm, Fritz Arno Wagner (B&W)";"Lil Dagover, Walter Janssen, Bernhard Goetzke, Rudolf Klein-Rogge, Hans Sternberg, Erich Pabst, Karl Rückert, Max Adalbert, Wilhelm Diegelmann, Karl Platen, Georg John, Grete Berger";"Decla Film";"Dos jóvenes enamorados viajan en diligencia y, de repente, se une a los viajeros un misterioso desconocido. El vehículo se detiene en una posada, y el desconocido desaparece con el joven. La muchacha busca desesperadamente a su novio y, cuando descubre que es la Muerte quien se lo ha llevado, le implora que se lo devuelva. La Muerte le muestra tres velas (vidas) a punto de extinguirse y le explica que sólo podrá recuperarlo si logra salvar alguna de ellas. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film830094.html";"Fantástico";"Drama";"Romance";"Película de episodios";"Cine mudo";"Expresionismo alemán";"";"";"";"";"";"";""
"833624";"Aventuras";8;"Capitanes intrépidos";"Captains Courageous";"116";"Estados Unidos";8,1;7,182;76;10;1;"Victor Fleming";"John Lee Mahin, Marc Connelly, Dale Van Every (Libro: Rudyard Kipling)";"Franz Waxman";"Harold Rosson (B&W)";"Spencer Tracy, Freddie Bartholomew, Lionel Barrymore, Melvyn Douglas, Mickey Rooney, John Carradine, Dennis O'Keefe";"Metro-Goldwyn-Mayer (MGM)";"Harvey Cheyne (Freddie Bartholomew) es un caprichoso y malcriado niño rico que está haciendo un crucero con su padre. Inesperadamente, cae por la borda del yate y es rescatado por un barco de pesca al mando de un intrépido capitán (Lionel Barrymore). El pesquero tiene que acabar la larga campaña de pesca antes de llevar al chico a tierra firme. Harvey, al principio a regañadientes, conseguirá adaptarse a la dura vida en alta mar gracias a su íntima relación con Manuel (Spencer Tracy), un bondadoso marinero portugués que ejercerá sobre el niño una benéfica influencia. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film833624.html";"Aventuras";"Drama";"Aventuras marinas";"Amistad";"Pesca";"Infancia";"";"";"";"";"";"";""
"842098";"Western";30;"Duelo en la alta sierra";"Ride the High Country aka";"94";"Estados Unidos";7,6;5,067;41;10;1;"Sam Peckinpah";"N.B. Stone Jr.";"George Bassman";"Lucien Ballard";"Randolph Scott, Joel McCrea, Mariette Hartley, Ron Starr, Edgar Buchanan, R.G. Armstrong, Jenie Jackson, James Drury, L.Q. Jones, John Anderson, John Davis Chandler, Warren Oates";"Metro-Goldwyn-Mayer (MGM)";"Dos viejos amigos se asocian para escoltar un cargamento de oro desde las minas de Alta Sierra hasta un banco. Uno de ellos (Joel McCrea) es un hombre honrado que sólo se propone hacer bien su trabajo; el otro (Randolph Scott), en cambio, carece de escrúpulos y proyecta robar la valiosa mercancía. (FILMAFFINITY)";"https://www.filmaffinity.com/es/film842098.html";"Western";"Aventuras";"Vejez";"Amistad";"";"";"";"";"";"";"";"";""
