"genero","posicion","nombre","id_pelicula"
"AV","9","La guerra de las galaxias. Episodio V: El imperio contraataca  (1980)   ","https://www.filmaffinity.com/es/film605090.html"
"AV","10","El viaje de Chihiro  (2001)   ","https://www.filmaffinity.com/es/film759533.html"
"AV","11","Centauros del desierto  (1956)   ","https://www.filmaffinity.com/es/film591096.html"
"AV","12","El señor de los anillos: La comunidad del anillo  (2001)   ","https://www.filmaffinity.com/es/film750283.html"
"AV","13","Lawrence de Arabia  (1962)   ","https://www.filmaffinity.com/es/film953245.html"
"AV","14","La princesa Mononoke  (1997)   ","https://www.filmaffinity.com/es/film890814.html"
"AV","15","O Som da Terra a Tremer  (1990)   ","https://www.filmaffinity.com/es/film599238.html"
"AV","16","El señor de los anillos: Las dos torres  (2002)   ","https://www.filmaffinity.com/es/film944222.html"
"AV","17","Braveheart  (1995)   ","https://www.filmaffinity.com/es/film395715.html"
"AV","18","Los Nibelungos: La muerte de Sigfrido (Los Nibelungos Parte I)  (1924)   ","https://www.filmaffinity.com/es/film848808.html"
"AV","19","Espartaco  (1960)   ","https://www.filmaffinity.com/es/film336548.html"
"AV","20","El rey león  (1994)   ","https://www.filmaffinity.com/es/film419029.html"
"AV","21","La guerra de las galaxias. Episodio IV: Una nueva esperanza  (1977)   ","https://www.filmaffinity.com/es/film712041.html"
"AV","22","Doctor Zhivago  (1965)   ","https://www.filmaffinity.com/es/film977246.html"
"AV","23","Toy Story 3  (2010)   ","https://www.filmaffinity.com/es/film612761.html"
"AV","24","La reina de África  (1951)   ","https://www.filmaffinity.com/es/film914686.html"
"AV","25","Gladiator  (2000)   ","https://www.filmaffinity.com/es/film392075.html"
"AV","26","Up  (2009)   ","https://www.filmaffinity.com/es/film777460.html"
"AV","27","Big Fish  (2003)   ","https://www.filmaffinity.com/es/film974553.html"
"AV","28","La guerra de las galaxias. Episodio VI: El retorno del Jedi  (1983)   ","https://www.filmaffinity.com/es/film226172.html"
"AV","29","Ben-Hur  (1959)   ","https://www.filmaffinity.com/es/film800123.html"
"AV","30","Lo que el viento se llevó  (1939)   ","https://www.filmaffinity.com/es/film470268.html"
"BE","1","Senderos de gloria  (1957)   ","https://www.filmaffinity.com/es/film448956.html"
"BE","2","La condición humana III: La plegaria del soldado  (1961)   ","https://www.filmaffinity.com/es/film106223.html"
"BE","3","Apocalypse Now  (1979)   ","https://www.filmaffinity.com/es/film701892.html"
"BE","4","Roma, ciudad abierta  (1945)   ","https://www.filmaffinity.com/es/film625556.html"
"BE","5","La chaqueta metálica  (1987)   ","https://www.filmaffinity.com/es/film462892.html"
"BE","6","La condición humana I: No hay amor más grande  (1959)   ","https://www.filmaffinity.com/es/film996494.html"
"BE","7","La condición humana II: El camino a la eternidad  (1959)   ","https://www.filmaffinity.com/es/film621539.html"
"BE","8","Ran  (1985)   ","https://www.filmaffinity.com/es/film782065.html"
"BE","9","La tumba de las luciérnagas  (1988)   ","https://www.filmaffinity.com/es/film582716.html"
"BE","10","El cazador  (1978)   ","https://www.filmaffinity.com/es/film764534.html"
"BE","11","La batalla de Argel  (1966)   ","https://www.filmaffinity.com/es/film757557.html"
"BE","12","Lawrence de Arabia  (1962)   ","https://www.filmaffinity.com/es/film953245.html"
"BE","13","Napoleón  (1927)   ","https://www.filmaffinity.com/es/film363444.html"
"BE","14","El acorazado Potemkin  (1925)   ","https://www.filmaffinity.com/es/film961390.html"
"BE","15","¿Teléfono rojo? Volamos hacia Moscú  (1964)   ","https://www.filmaffinity.com/es/film479847.html"
"BE","16","El gran desfile  (1925)   ","https://www.filmaffinity.com/es/film509427.html"
